GameId,Week,Date,Away,Home,AwayScore,HomeScore,Spread,Winner,Underdog
02-001,2,Thu September 11,Commanders,Packers,0,0,0,H or A,H or A
02-002,2,Sun September 14,Bills,Jets,0,0,0,H or A,H or A
02-003,2,Sun September 14,Bears,Lions,0,0,0,H or A,H or A
02-004,2,Sun September 14,Browns,Ravens,0,0,0,H or A,H or A
02-005,2,Sun September 14,Jaguars,Bengals,0,0,0,H or A,H or A
02-006,2,Sun September 14,Rams,Titans,0,0,0,H or A,H or A
02-007,2,Sun September 14,Patriots,Dolphins,0,0,0,H or A,H or A
02-008,2,Sun September 14,Giants,Cowboys,0,0,0,H or A,H or A
02-009,2,Sun September 14,49ers,Saints,0,0,0,H or A,H or A
02-010,2,Sun September 14,Seahawks,Steelers,0,0,0,H or A,H or A
02-011,2,Sun September 14,Panthers,Cardinals,0,0,0,H or A,H or A
02-012,2,Sun September 14,Broncos,Colts,0,0,0,H or A,H or A
02-013,2,Sun September 14,Eagles,Chiefs,0,0,0,H or A,H or A
02-014,2,Sun September 14,Falcons,Vikings,0,0,0,H or A,H or A
02-015,2,Mon September 15,Buccaneers,Texans,0,0,0,H or A,H or A
02-016,2,Mon September 15,Chargers,Raiders,0,0,0,H or A,H or A
