GameId,Week,Date,Away,Home,AwayScore,HomeScore,Spread,Winner,Underdog
07-001,7,Thu October 16,Steelers,Bengals,21,31,3.5,H or A,A
07-002,7,Sun October 19,Rams,Jaguars,24,24,7.5,H or A,A
07-003,7,Sun October 19,Panthers,Jets,13,42,6.5,H or A,H
07-004,7,Sun October 19,Raiders,Chiefs,42,31,1.5,H or A,A
07-005,7,Sun October 19,Dolphins,Browns,31,24,10.5,H or A,H
07-006,7,Sun October 19,Patriots,Titans,10,21,4.5,H or A,H
07-007,7,Sun October 19,Saints,Bears,3,17,3.5,H or A,A
07-008,7,Sun October 19,Eagles,Vikings,42,35,2.5,H or A,A
07-009,7,Sun October 19,Colts,Chargers,21,31,6.5,H or A,A
07-010,7,Sun October 19,Giants,Broncos,17,19,7.5,H or A,H
07-011,7,Sun October 19,Packers,Cardinals,10,31,2.5,H or A,A
07-012,7,Sun October 19,Commanders,Cowboys,31,21,0.5,H or A,H
07-013,7,Sun October 19,Falcons,49ers,10,31,5.5,H or A,A
07-014,7,Mon October 20,Buccaneers,Lions,7,14,7.5,H or A,A
07-015,7,Mon October 20,Texans,Seahawks,21,24,6.5,H or A,A
